date,amount,category,customerID
2024-01-01,1250.50,Electronics,101
2024-01-02,850.75,Clothing,102
2024-01-03,320.25,Food,103
2024-01-04,1890.00,Electronics,101
2024-01-05,450.50,Clothing,104
2024-01-06,275.80,Food,103
2024-01-07,1650.25,Electronics,105
2024-01-08,920.40,Clothing,102
2024-01-09,380.60,Food,106
2024-01-10,2100.75,Electronics,101
2024-01-11,550.30,Clothing,107
2024-01-12,420.90,Food,103
2024-01-13,980.20,Electronics,108
2024-01-14,720.15,Clothing,104
2024-01-15,310.45,Food,109
2024-01-16,1450.60,Electronics,105
2024-01-17,680.25,Clothing,110
2024-01-18,290.80,Food,106
2024-01-19,1750.40,Electronics,101
2024-01-20,890.50,Clothing,102
2024-01-21,360.70,Food,111
2024-01-22,1320.30,Electronics,108
2024-01-23,640.85,Clothing,107
2024-01-24,410.20,Food,103
2024-01-25,1980.90,Electronics,105
2024-01-26,750.40,Clothing,110
2024-01-27,330.60,Food,109
2024-01-28,1120.75,Electronics,101
2024-01-29,580.30,Clothing,104
2024-01-30,380.45,Food,111

